,Document 1,Document 2,JACCARD SIMILARITY
36,1,0,0.627906976744186
28,2,0,0.4117647058823529
29,3,0,0.4117647058823529
30,4,0,0.4117647058823529
31,5,0,0.07407407407407407
32,6,0,0.4117647058823529
33,7,0,0.4
34,8,0,0.4117647058823529
35,9,0,0.4
37,2,1,0.3617021276595745
38,3,1,0.3617021276595745
39,4,1,0.3617021276595745
40,5,1,0.046511627906976744
41,6,1,0.3617021276595745
42,7,1,0.3829787234042553
43,8,1,0.3617021276595745
44,9,1,0.3541666666666667
1,3,2,1.0
3,4,2,1.0
0,5,2,0.09523809523809523
6,6,2,1.0
15,7,2,0.9545454545454546
10,8,2,1.0
21,9,2,0.9545454545454546
4,4,3,1.0
2,5,3,0.09523809523809523
7,6,3,1.0
16,7,3,0.9545454545454546
11,8,3,1.0
22,9,3,0.9545454545454546
5,5,4,0.09523809523809523
8,6,4,1.0
17,7,4,0.9545454545454546
12,8,4,1.0
23,9,4,0.9545454545454546
9,6,5,0.09523809523809523
18,7,5,0.09090909090909091
13,8,5,0.09523809523809523
24,9,5,0.09090909090909091
19,7,6,0.9545454545454546
14,8,6,1.0
25,9,6,0.9545454545454546
20,8,7,0.9545454545454546
26,9,7,0.9130434782608695
27,9,8,0.9545454545454546
